recipe_name,source_file,source_area,source_text,reason
Egg with Potato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Egg with Potato Recipe.01 serving.docx,paragraph 6,Salt – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Egg with Potato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Egg with Potato Recipe.01 serving.docx,paragraph 7,Black pepper – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Egg with Potato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Egg with Potato Recipe.01 serving.docx,paragraph 8,Optional: chopped onion or herbs for flavor (10 g),"No exact numeric quantity in source, so it cannot be costed exactly."
Fried Eggs.2 pcs,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Fried Eggs.2 pcs.docx,paragraph 5,Pinch of salt,"No exact numeric quantity in source, so it cannot be costed exactly."
Fried Eggs.2 pcs,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Fried Eggs.2 pcs.docx,paragraph 6,Pinch of black pepper (optional),"No exact numeric quantity in source, so it cannot be costed exactly."
Omlette with onion and tomato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Omlette with onion and tomato 01 pax.docx,paragraph 11,"Prep the ingredients: Chop onion, tomato, and herbs (if using).","No exact numeric quantity in source, so it cannot be costed exactly."
Omlette with onion and tomato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Omlette with onion and tomato 01 pax.docx,paragraph 12,"Beat the eggs: In a bowl, whisk eggs with salt and pepper until smooth.","No exact numeric quantity in source, so it cannot be costed exactly."
Omlette with onion and tomato,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Omlette with onion and tomato 01 pax.docx,paragraph 16,Serve: Garnish with herbs if desired.,"No exact numeric quantity in source, so it cannot be costed exactly."
Plan cheese omlette,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Plan cheese omlette.docx,paragraph 5,"Milk – 10ml (optional, for fluffiness)","No exact numeric quantity in source, so it cannot be costed exactly."
Plan cheese omlette,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Plan cheese omlette.docx,paragraph 7,Black pepper – a pinch,"No exact numeric quantity in source, so it cannot be costed exactly."
Scrambled Eggs,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Scrambled Eggs.01 pax.docx,paragraph 6,Salt – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Scrambled Eggs,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Scrambled Eggs.01 pax.docx,paragraph 7,Black pepper – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Vegetable Omelette,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Vegetable Omelette.01 serving.docx,paragraph 9,Salt & pepper to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Egg Curry,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\Egg_Curry_Recipe_100_Servings.docx,table 1 row 17,Fresh Coriander (Cilantro) | 4 bunches | Finely chopped for garnish,"No exact numeric quantity in source, so it cannot be costed exactly."
French Toast,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\French Toast Recipe.01 pax.docx,paragraph 6,1 tsp sugar (optional),"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Biryani,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,paragraph 18,🧅 Biryani Masala & Gravy,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Biryani,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,paragraph 24,Whole spices:,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Biryani,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,paragraph 32,🥛 Saffron Milk,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Broasted,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Broasted Recipe.100 pax -.docx,paragraph 35,"Optional spices: Cayenne pepper, onion powder, dried herbs (all adjust to taste).","No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Chilli,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Chilli Recipe.100 pax.docx,paragraph 28,Salt – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Curry,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Curry Recipe.100 pax.docx,paragraph 19,🌶️ Spices:,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Handi,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,paragraph 15,Spices,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Handi,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,paragraph 23,Whole Spices,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Jalfrezi,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,paragraph 15,Spices & Flavorings,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Masala. bone in chicken,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,paragraph 15,🌶️ Spices,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Masala. bone in chicken,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,paragraph 20,Whole spices (optional but recommended):,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Palak,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,paragraph 11,Spices:,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Palak,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,paragraph 18,Whole Spices:,"No exact numeric quantity in source, so it cannot be costed exactly."
Chicken Tandori,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,paragraph 12,🧄 Second Marinade (Spice & Bind Base),"No exact numeric quantity in source, so it cannot be costed exactly."
Arabic Foul Medames,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Arabic Foul Medames.100 pax.docx,table 1 row 7,Salt | 200 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Arabic Foul Medames,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Arabic Foul Medames.100 pax.docx,paragraph 17,200 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Arabic Foul Medames,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Arabic Foul Medames.100 pax.docx,paragraph 20,Fresh parsley (chopped),"No exact numeric quantity in source, so it cannot be costed exactly."
Arabic Foul Medames,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Arabic Foul Medames.100 pax.docx,paragraph 22,Green chili (optional),"No exact numeric quantity in source, so it cannot be costed exactly."
Daal Lobia,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Daal Lobia.100 PAX.docx,table 1 row 13,Salt | As per taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Daal Lobia,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Daal Lobia.100 PAX.docx,paragraph 29,Salt,"No exact numeric quantity in source, so it cannot be costed exactly."
Dal Chana Fry,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Chana Fry.100 pax.docx,table 1 row 13,Salt | 250 g (adjust),"No exact numeric quantity in source, so it cannot be costed exactly."
Dal Makhni,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Makhni.100 pax.docx,paragraph 9,Base Masala,"No exact numeric quantity in source, so it cannot be costed exactly."
Dal Mash Fry,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,table 1 row 13,Salt | ~250 g (adjust),"No exact numeric quantity in source, so it cannot be costed exactly."
Dal Mash Fry,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,table 2 row 4,Vegetables & spices | 30 kcal,"No exact numeric quantity in source, so it cannot be costed exactly."
Dal Masoor,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Masoor.100 pax.docx,paragraph 11,Spices & Seasoning,"No exact numeric quantity in source, so it cannot be costed exactly."
Dall Mash,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mash 100 pax .docx,paragraph 4,Ingredient: Dall Mash - Cooking Oil- Onion Seeds – Fennel Seeds- Whole Cumin-Garlic – Ginger- Tomato – Chili Powder – Black Pepper Powder – Salt - Coriander Powder Turmeric Powder – Chili Powder– Fresh Coriander for Topping,"No exact numeric quantity in source, so it cannot be costed exactly."
Dall Mongo,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,paragraph 15,Salt – to taste,"No exact numeric quantity in source, so it cannot be costed exactly."
Grilled Fish Fillet,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,paragraph 14,🌿 Second Marinade (Herb & Oil Base),"No exact numeric quantity in source, so it cannot be costed exactly."
Allo Gosht,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Allo Gosht.100 pax.docx,paragraph 13,Oil & Whole Spices,"No exact numeric quantity in source, so it cannot be costed exactly."
Mutton Biryani,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton Biryani. 100 pax.docx,paragraph 23,Whole spices:,"No exact numeric quantity in source, so it cannot be costed exactly."
Mutton Biryani,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton Biryani. 100 pax.docx,paragraph 28,🧅 Fried Onions & Garnish,"No exact numeric quantity in source, so it cannot be costed exactly."
Mutton Curry,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton Curry Recipe.100 pax.docx,paragraph 16,🧅 Curry Base & Gravy (Masala Sauce),"No exact numeric quantity in source, so it cannot be costed exactly."
Mutton Korma,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton Korma Recipe. 100 pax.docx,table 1 row 15,Salt | 300 g (adjust),"No exact numeric quantity in source, so it cannot be costed exactly."
Mutton Kadai,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton_Kadai_100_Pax.docx,paragraph 15,Kadai Spice Mix (Freshly Ground),"No exact numeric quantity in source, so it cannot be costed exactly."
Penne pasta,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Penne pasta Ingredients.100 pax.docx,paragraph 14,"200 g sugar (optional, to balance acidity)","No exact numeric quantity in source, so it cannot be costed exactly."
Penne pasta,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Penne pasta Ingredients.100 pax.docx,paragraph 18,Fresh basil or parsley for garnish (optional),"No exact numeric quantity in source, so it cannot be costed exactly."
Vegetable Noodles,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Vegetable Noodles.100 pax.docx,table 1 row 14,Salt | to taste (~250 g),"No exact numeric quantity in source, so it cannot be costed exactly."
Vegetable Noodles,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Vegetable Noodles.100 pax.docx,paragraph 32,to taste (~250 g),"No exact numeric quantity in source, so it cannot be costed exactly."
arabic Mandi Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\arabic Mandi Rice.100 pax.docx,paragraph 9,(Optional variation: Lamb 30 kg bone-in),"No exact numeric quantity in source, so it cannot be costed exactly."
arabic Mandi Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\arabic Mandi Rice.100 pax.docx,paragraph 17,Mandi Spices,"No exact numeric quantity in source, so it cannot be costed exactly."
Bukhari Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Bukhari Rice.100 pax.docx,paragraph 21,Spices,"No exact numeric quantity in source, so it cannot be costed exactly."
Bukhari Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Bukhari Rice.100 pax.docx,paragraph 72,Gluten (if spices are certified gluten-free),"No exact numeric quantity in source, so it cannot be costed exactly."
Bukhari Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Bukhari Rice.100 pax.docx,paragraph 75,Bukhari rice should be lighter in spice and slightly sweet.,"No exact numeric quantity in source, so it cannot be costed exactly."
Chinese Egg Fried Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Chinese Egg Fried Rice Recipe.100 pax.docx,paragraph 52,"Add scrambled eggs, soy sauce, sesame oil, salt, and pepper. Mix thoroughly for 3–5 minutes until everything is evenly coated and hot.","No exact numeric quantity in source, so it cannot be costed exactly."
Plain Kabsa Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Plain Kabsa Rice Recipe.100 pax.docx,table 1 row 14,Salt | 250 g (adjust),"No exact numeric quantity in source, so it cannot be costed exactly."
Pulao Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Pulao Rice. 100 pax.docx,table 1 row 11,Salt | 300 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Pulao Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Pulao Rice. 100 pax.docx,paragraph 21,"Whole Spices (bay leaf, cloves, cardamom, cinnamon)","No exact numeric quantity in source, so it cannot be costed exactly."
Pulao Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Pulao Rice. 100 pax.docx,paragraph 26,300 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Sayadiyah Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Sayadiyah Rice.100 pax.docx,paragraph 18,Spices,"No exact numeric quantity in source, so it cannot be costed exactly."
Vegetable Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vegetable Rice.100 pax.docx,table 1 row 3,"Mixed Vegetables (carrot, peas, corn, beans, bell pepper) | 15,000 g (15 kg)","No exact numeric quantity in source, so it cannot be costed exactly."
Vegetable Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vegetable Rice.100 pax.docx,table 1 row 8,Salt | 300 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Vegetable Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vegetable Rice.100 pax.docx,paragraph 7,"Mixed Vegetables (carrot, peas, corn, beans, bell pepper)","No exact numeric quantity in source, so it cannot be costed exactly."
Vegetable Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vegetable Rice.100 pax.docx,paragraph 18,300 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Vegetable Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vegetable Rice.100 pax.docx,paragraph 31,Fresh Coriander (for garnish),"No exact numeric quantity in source, so it cannot be costed exactly."
Vermicelli Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vermicelli Rice.docx,table 1 row 7,Whole Cardamom Pods (Optional) | 10 Units | Cracked open slightly for base aroma,"No exact numeric quantity in source, so it cannot be costed exactly."
Vermicelli Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vermicelli Rice.docx,table 1 row 8,Whole Cinnamon Sticks (Optional) | 4 Units | Removed prior to hot pan distribution,"No exact numeric quantity in source, so it cannot be costed exactly."
Yellow Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Yellow Rice .docx,paragraph 16,The Whole & Ground Spices,"No exact numeric quantity in source, so it cannot be costed exactly."
Zarda Rice,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Zarda Rice Recipe.100 PAX.docx,paragraph 19,Saffron (optional),"No exact numeric quantity in source, so it cannot be costed exactly."
Chana Chat,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Chana Chat 100 pax .docx,paragraph 15,The Street-Style Dressing & Spice Blend,"No exact numeric quantity in source, so it cannot be costed exactly."
Green Chutney,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Green Chutney.100 pax.docx,table 1 row 9,Salt | 120 g (adjust),"No exact numeric quantity in source, so it cannot be costed exactly."
Raita,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Raita 100 pax .docx,paragraph 11,The Spice Blend,"No exact numeric quantity in source, so it cannot be costed exactly."
Rice pudding,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Rice pudding.docx,paragraph 21,"Thicken (Optional): If you prefer a highly stable, custardy consistency for buffet lines, slowly pour in the cornstarch slurry while stirring continuously. Let it simmer for an extra 2–3 minutes until visibly thickened.","No exact numeric quantity in source, so it cannot be costed exactly."
Vermicelli with Milk,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Vermicelli with Milk Recipe.100 pax.docx,paragraph 25,Saffron (optional),"No exact numeric quantity in source, so it cannot be costed exactly."
allo bujiya for,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\allo bujiya Ingredients for 100 Servings..docx,paragraph 20,Coriander leaves (optional),"No exact numeric quantity in source, so it cannot be costed exactly."
ALOO GOBI,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\ALOO GOBI.100 pax.docx,table 1 row 14,Salt | 300 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Bitter Gourd POTATO,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\Bitter Gourd POTATO 100 PAX.docx,table 1 row 8,Red chili powder | 100 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Bitter Gourd POTATO,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\Bitter Gourd POTATO 100 PAX.docx,table 1 row 11,Salt | 100 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Bitter Gourd POTATO,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\Bitter Gourd POTATO 100 PAX.docx,paragraph 19,100 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Bitter Gourd POTATO,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\Bitter Gourd POTATO 100 PAX.docx,paragraph 25,100 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
carrot potato green peas mix,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\carrot potato green peas mix 100 pax.docx,table 1 row 15,Red chili powder | 20 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
carrot potato green peas mix,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\carrot potato green peas mix 100 pax.docx,table 1 row 16,Salt | 150–200 g (adjust to taste),"No exact numeric quantity in source, so it cannot be costed exactly."
Green Beans,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\Green Beans. 100 pax.docx,paragraph 10,Base मसाला (Masala),"No exact numeric quantity in source, so it cannot be costed exactly."
Mix Vegetable Curry,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\Mix Vegetable Curry. 100 pax.docx,table 1 row 15,Salt | 200 g (adjust),"No exact numeric quantity in source, so it cannot be costed exactly."
