name,recipe_code,description,recipe_type,cuisine_type,category,servings,portion_size_grams,ingredients,sub_recipes,instructions,prep_time_minutes,cook_time_minutes,allergens,site_scope,site_ids,site_names,image_url,is_active
Chinese noodle Philippines Filipino KBR-384 1 Serving,PH-011-CHINESENOODL,Chinese noodle Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,417.4,"[{""ingredient_name"":""A- MAKATI CHINESE NOODLES 30/200G"",""quantity"":50,""unit"":""g"",""item_code"":""402514"",""ingredient_id"":""""},{""ingredient_name"":""TFG AMERICANA LOCAL CHICKEN BREAST1/10KG"",""quantity"":50,""unit"":""g"",""item_code"":""180259"",""ingredient_id"":""""},{""ingredient_name"":""A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML"",""quantity"":0.02,""unit"":""l"",""item_code"":""110196"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":1.35,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""CARROT (AUSTALIA/CHINA)"",""quantity"":20,""unit"":""g"",""item_code"":""PR000026"",""ingredient_id"":""""},{""ingredient_name"":""CABBAGE (LOCAL)"",""quantity"":96,""unit"":""g"",""item_code"":""PR000002"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAKATI SOY SAUCE 12/750ML"",""quantity"":0.0075,""unit"":""l"",""item_code"":""100782"",""ingredient_id"":""""},{""ingredient_name"":""A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML"",""quantity"":0.0045,""unit"":""l"",""item_code"":""110196"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.132,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.006,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""}]",[],"500g Pancit Canton noodles (wheat flour/egg noodles) | 500g chicken breast or beef, thinly sliced | 200g medium shrimp, peeled and deveined (optional) | 4–5 cloves garlic, minced | 2 medium onions, sliced | 2 medium carrots, julienned (cut into matchsticks) | 4 cups shredded cabbage | 5 tbsp soy sauce | 3 tbsp oyster sauce | 5–6 cups chicken broth or water | 4 tbsp cooking oil | Salt and pepper to taste | Calamansi or lemons (cut in half for serving)",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Coconut vegetable Philippines Filipino KBR-384 1 Serving,PH-012-COCONUTVEGET,Coconut vegetable Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Vegetable,1,793.6,"[{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.0045,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":45,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":3.6,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""GINGER (CHINA)"",""quantity"":2,""unit"":""g"",""item_code"":""PR000019"",""ingredient_id"":""""},{""ingredient_name"":""AFCO COCONUT MILK POWDER 12/300G"",""quantity"":0.062,""unit"":""l"",""item_code"":""174476"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.048,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""kabocha squash 1 5-inch"",""quantity"":288,""unit"":""g"",""item_code"":""PHMIS-013"",""ingredient_id"":""""},{""ingredient_name"":""yardlong beans 2-inch lengths"",""quantity"":120,""unit"":""g"",""item_code"":""PHMIS-014"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAKATI SOY SAUCE 12/750ML"",""quantity"":0.0045,""unit"":""l"",""item_code"":""100782"",""ingredient_id"":""""},{""ingredient_name"":""SPINACH (BDL)"",""quantity"":216,""unit"":""g"",""item_code"":""PR000061"",""ingredient_id"":""""}]",[],"3 tablespoons cooking oil | 3 medium onions, chopped | 12 cloves garlic, minced | 1 large thumb-sized piece of fresh ginger, minced | 4 cans (13.5 oz or 400 ml each) full-fat coconut milk | 2 cups water or vegetable broth (if needed to thin the sauce) | 12 cups kabocha squash (kalabasa), peeled and cubed into 1.5-inch pieces | 6 cups yardlong beans (sitaw or snake beans), cut into 2-inch lengths | 3 tablespoons fish sauce (patis), or soy sauce for a vegan version | 9 cups fresh malunggay (moringa) leaves or spinach | Salt and ground black pepper to taste",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Ginataang Manok Philippines Filipino KBR-384 1 Serving,PH-013-GINATAANGMAN,Ginataang Manok Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,535.2,"[{""ingredient_name"":""TANMIAH FRESH CHICKEN 1/900G"",""quantity"":226.8,""unit"":""g"",""item_code"":""205101"",""ingredient_id"":""""},{""ingredient_name"":""AFCO COCONUT MILK POWDER 12/300G"",""quantity"":0.062,""unit"":""l"",""item_code"":""174476"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.048,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.008,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":2.4,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""GINGER (CHINA)"",""quantity"":12,""unit"":""g"",""item_code"":""PR000019"",""ingredient_id"":""""},{""ingredient_name"":""A-AFFCO FISH SAUCE 12/700ML"",""quantity"":0.0052,""unit"":""l"",""item_code"":""273104"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z"",""quantity"":0.27,""unit"":""g"",""item_code"":""185836"",""ingredient_id"":""""},{""ingredient_name"":""green papaya chayote squash wedges"",""quantity"":90,""unit"":""g"",""item_code"":""PHMIS-018"",""ingredient_id"":""""},{""ingredient_name"":""GREEN PEPPER (LBN)"",""quantity"":2.5,""unit"":""g"",""item_code"":""PR000009"",""ingredient_id"":""""},{""ingredient_name"":""SPINACH (BDL)"",""quantity"":48,""unit"":""g"",""item_code"":""PR000061"",""ingredient_id"":""""}]",[],"5 lbs (about 2.3 kg) bone-in, skin-on chicken pieces (thighs and drumsticks work best) | 4 cans (14 oz each) coconut milk (or about 6 cups fresh coconut milk) | 2 cups water or chicken stock | ⅓ cup cooking oil | 2 large onions, chopped | 8 cloves garlic, minced | ½ cup fresh ginger, sliced into thin strips or julienned | 3 to 4 tbsp fish sauce (patis), adjusted to taste | 1 tsp ground black pepper | 2 medium green papaya or chayote squash, peeled and sliced into wedges (or substitute with 2 large cubed potatoes) | 4 to 6 pieces finger chilies (siling haba) or Thai bird's eye chilies (siling labuyo) for heat | 2 cups fresh malunggay (moringa) leaves or spinach",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Mackerel / Tilapia / milk fry fish Philippines Filipino KBR-384 1 Serving,PH-014-MACKERELTILA,Mackerel / Tilapia / milk fry fish Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,55.2,"[{""ingredient_name"":""TAFGA INDIAN MACKEREL FISH ORIGINAL 1/KG"",""quantity"":17,""unit"":""g"",""item_code"":""134884"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA REHAN SALT IODIZED 24/700G"",""quantity"":3.15,""unit"":""g"",""item_code"":""166780"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z"",""quantity"":0.27,""unit"":""g"",""item_code"":""185836"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":1.8,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.03,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""LEMON (AFRICAN/TURKEY)"",""quantity"":3,""unit"":""g"",""item_code"":""PR000090"",""ingredient_id"":""""}]",[],"Mackerel (Alumahan or Bangus/Galunggong alternative): 10–12 medium whole fish170g/ person, cleaned and scaled | Salt: 1.5 to 2 tablespoons (for rubbing) | Ground Black Pepper: 1 teaspoon | Garlic: 6 cloves, crushed (optional, for frying aroma) | Cooking Oil: 1 to 1.5 cups (for shallow or deep frying) | Calamansi or Lime Juice: 2 tablespoons (optional, for marination/serving)",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Mung Bean Soup Philippines Filipino KBR-384 1 Serving,PH-015-MUNGBEANSOUP,Mung Bean Soup Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Soup,1,573.2,"[{""ingredient_name"":""mung beans rinsed drained"",""quantity"":50,""unit"":""g"",""item_code"":""PHMIS-005"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.3,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG"",""quantity"":50,""unit"":""g"",""item_code"":""141396"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.0045,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":2.7,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""TOMATO (ADY)"",""quantity"":48,""unit"":""g"",""item_code"":""PR000005"",""ingredient_id"":""""},{""ingredient_name"":""A-AFFCO FISH SAUCE 12/700ML"",""quantity"":0.003,""unit"":""l"",""item_code"":""273104"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAGGI CUBES CHICKEN 24/24/20G"",""quantity"":4,""unit"":""g"",""item_code"":""102426"",""ingredient_id"":""""},{""ingredient_name"":""SPINACH (BDL)"",""quantity"":45,""unit"":""g"",""item_code"":""PR000061"",""ingredient_id"":""""},{""ingredient_name"":""BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG"",""quantity"":36,""unit"":""g"",""item_code"":""141396"",""ingredient_id"":""""}]",[],"2.5 cups dried mung beans (monggo), rinsed and drained | 12.5 cups water (plus extra if you prefer a thinner soup) | 500g beef, cut into small bite-sized pieces | 3 tablespoons cooking oil | 8 to 10 cloves garlic, minced | 2 large onions, chopped | 4 medium tomatoes, diced | 2 tablespoons fish sauce (patis), or adjust to taste | 2 pieces beef or chicken bouillon cubes (optional, for extra depth) | 4 to 5 handfuls fresh spinach, malunggay (moringa), or sili leaves | 1.5 cups crushed beef cracklings (optional, plus extra for topping) | Salt and ground black pepper to taste",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Nilaga soup Philippines Filipino KBR-384 1 Serving,PH-016-NILAGASOUPPH,Nilaga soup Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Soup,1,791.3,"[{""ingredient_name"":""BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG"",""quantity"":204.12,""unit"":""g"",""item_code"":""141396"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.384,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""SHAN BLACK PEPPER WHOLE 10/1KG"",""quantity"":1.2,""unit"":""g"",""item_code"":""GR001017"",""ingredient_id"":""""},{""ingredient_name"":""POTATO (LOCAL)"",""quantity"":72,""unit"":""g"",""item_code"":""PR000022"",""ingredient_id"":""""},{""ingredient_name"":""A-(TAFGA) AFFCO SWEET CORN 6/3KG"",""quantity"":72,""unit"":""g"",""item_code"":""199838"",""ingredient_id"":""""},{""ingredient_name"":""CABBAGE (LOCAL)"",""quantity"":10,""unit"":""g"",""item_code"":""PR000002"",""ingredient_id"":""""},{""ingredient_name"":""SPINACH (BDL)"",""quantity"":8,""unit"":""g"",""item_code"":""PR000061"",""ingredient_id"":""""},{""ingredient_name"":""A-AFFCO FISH SAUCE 12/700ML"",""quantity"":0.006,""unit"":""l"",""item_code"":""273104"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAGGI CUBES CHICKEN 24/24/20G"",""quantity"":4,""unit"":""g"",""item_code"":""102426"",""ingredient_id"":""""}]",[],"4.5 lbs (2 kg) beef chuck, brisket, or short ribs, cut into large chunks | 16 cups water (or enough to submerge the beef) | 2 medium yellow onions, halved or quartered | 1.5 tbsp whole black peppercorns | 4 medium potatoes, peeled and halved | 4 ears sweet yellow corn, cut into thirds | 1 small head green cabbage, cut into wedges | 1 bunch bok choy or pechay (optional substitute for part of the cabbage) | 4 tbsp fish sauce (patis), plus extra for serving | 2 cubes beef bouillon (optional, for richer flavor) | Salt to taste",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Pak Bet Philippines Filipino KBR-384 1 Serving,PH-017-PAKBETPHILIP,Pak Bet Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Vegetable,1,363,"[{""ingredient_name"":""TAFGA MAGGI CUBES CHICKEN 24/24/20G"",""quantity"":45.36,""unit"":""g"",""item_code"":""102426"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.0045,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":3.6,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""TOMATO (ADY)"",""quantity"":48,""unit"":""g"",""item_code"":""PR000005"",""ingredient_id"":""""},{""ingredient_name"":""A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML"",""quantity"":0.012,""unit"":""l"",""item_code"":""110196"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.048,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""Calabasa (squash)"",""quantity"":60,""unit"":""g"",""item_code"":""PHMIS-013"",""ingredient_id"":""""},{""ingredient_name"":""String beans (sitaw)"",""quantity"":50,""unit"":""g"",""item_code"":""PHMIS-014"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA SB OKRA ZERO 20/400G"",""quantity"":24,""unit"":""g"",""item_code"":""404298"",""ingredient_id"":""""},{""ingredient_name"":""Bitter melon (ampalaya)"",""quantity"":20,""unit"":""g"",""item_code"":""PHMIS-006"",""ingredient_id"":""""},{""ingredient_name"":""EGGPANT (BIG)"",""quantity"":17.5,""unit"":""g"",""item_code"":""PR000012"",""ingredient_id"":""""}]",[],"Meat: 1 lb (450g), cut into small cubes or thin strips | Cooking oil: 3 tablespoons | Garlic: 12 cloves, minced or crushed | Onions: 2 medium, chopped | Tomatoes: 4 medium, chopped | Shrimp paste (bagoong alamang): 1/2 cup (sautéed) | Water: 2 cups | Calabasa (squash): 2.5 cups, cubed (about half a small squash) | String beans (sitaw): 2.5 cups, cut into 2-inch lengths | Okra: 20 pieces, ends trimmed | Bitter melon (ampalaya): 2 medium, seeded and sliced | Eggplant (talong): 3-4 medium, sliced into thick rounds | Salt and ground black pepper: to taste",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Pancit Mix Philippines Filipino KBR-384 1 Serving,PH-018-PANCITMIXPHI,Pancit Mix Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,445,"[{""ingredient_name"":""A- MAKATI CHINESE NOODLES 30/200G"",""quantity"":45.36,""unit"":""g"",""item_code"":""402514"",""ingredient_id"":""""},{""ingredient_name"":""TANMIAH FRESH CHICKEN 1/900G"",""quantity"":45.36,""unit"":""g"",""item_code"":""205101"",""ingredient_id"":""""},{""ingredient_name"":""BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG"",""quantity"":22.68,""unit"":""g"",""item_code"":""141396"",""ingredient_id"":""""},{""ingredient_name"":""A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML"",""quantity"":0.0227,""unit"":""l"",""item_code"":""110196"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":1.65,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""ONION (WHITE)"",""quantity"":15,""unit"":""g"",""item_code"":""PR000049"",""ingredient_id"":""""},{""ingredient_name"":""CARROT (AUSTALIA/CHINA)"",""quantity"":20,""unit"":""g"",""item_code"":""PR000026"",""ingredient_id"":""""},{""ingredient_name"":""CABBAGE (LOCAL)"",""quantity"":84,""unit"":""g"",""item_code"":""PR000002"",""ingredient_id"":""""},{""ingredient_name"":""AL OSRA SUGAR FINE 10/2KG"",""quantity"":20,""unit"":""g"",""item_code"":""176065"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.12,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAKATI SOY SAUCE 12/750ML"",""quantity"":0.012,""unit"":""l"",""item_code"":""100782"",""ingredient_id"":""""},{""ingredient_name"":""A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML"",""quantity"":0.0045,""unit"":""l"",""item_code"":""110196"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAKATI SOY SAUCE 12/750ML"",""quantity"":0.0015,""unit"":""l"",""item_code"":""100782"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z"",""quantity"":0.27,""unit"":""g"",""item_code"":""185836"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""}]",[],"Noodles: 16 ounces (450g) dry rice vermicelli noodles (pancit bihon) | Meat & Seafood: | 1 pound (450g) boneless chicken thighs, cut into small bite-sized pieces | 1/2 pound (225g) beef, thinly sliced (optional, or use all chicken) | 1/2 pound (225g) peeled and deveined medium shrimp (optional) | Aromatics & Veggies: | 5 to 6 cloves garlic, minced | 1 large yellow or white onion, thinly sliced | 2 medium carrots, peeled and cut into thin matchsticks (julienne) | 3 to 4 cups shredded green cabbage or Chinese cabbage (wombok) | 1 cup snow peas or sugar snap peas, trimmed | Sauce & Broth: | 5 cups chicken stock or water | 1/2 cup regular soy sauce | 3 tablespoons oyster sauce | 1 tablespoon dark soy sauce (for rich color) | 1 teaspoon ground black pepper | Garnish: | 2 stalk green onions (spring onions), chopped | Calamansi or lime wedges for serving",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Pesang soup Philippines Filipino KBR-384 1 Serving,PH-019-PESANGSOUPPH,Pesang soup Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Soup,1,677.7,"[{""ingredient_name"":""TAFGA WHITE / HAMOUR FISH FILLET 1/1KG"",""quantity"":200,""unit"":""g"",""item_code"":""144669"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA REHAN SALT IODIZED 24/700G"",""quantity"":3.6,""unit"":""g"",""item_code"":""166780"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.0075,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""GINGER (CHINA)"",""quantity"":12,""unit"":""g"",""item_code"":""PR000019"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":1.8,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.264,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""A-AFFCO FISH SAUCE 12/700ML"",""quantity"":0.0075,""unit"":""l"",""item_code"":""273104"",""ingredient_id"":""""},{""ingredient_name"":""SHAN BLACK PEPPER WHOLE 10/1KG"",""quantity"":0.27,""unit"":""g"",""item_code"":""GR001017"",""ingredient_id"":""""},{""ingredient_name"":""POTATO (LOCAL)"",""quantity"":72,""unit"":""g"",""item_code"":""PR000022"",""ingredient_id"":""""},{""ingredient_name"":""CABBAGE (LOCAL)"",""quantity"":10,""unit"":""g"",""item_code"":""PR000002"",""ingredient_id"":""""},{""ingredient_name"":""SPINACH (BDL)"",""quantity"":45,""unit"":""g"",""item_code"":""PR000061"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":24,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""}]",[],"The Base & Protein | 2 kg firm white fish (such as Maya-Maya / Red Snapper, Tilapia, or Grouper), cut into serving pieces | 2 tbsp salt (for rubbing on the fish) | 4-6 tbsp cooking oil (for pan-frying) | The Aromatics & Broth | ½ cup fresh ginger, sliced and heavily bruised/pounded (the star flavor) | 2 medium red onions, quartered | 6 cloves garlic, minced | 10-12 cups water (or hugas-bigas / second rinse of rice washing for a richer broth) | 5 tbsp fish sauce (patis) | 1 tsp whole black peppercorns | The Vegetables | 4 medium potatoes, peeled and quartered | 1 medium head of cabbage, sliced into quarters | 4-5 bunches of Pechay (Bok Choy), roots trimmed and leaves separated | 1 cup green onions (scallions), cut into 2-inch pieces",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
SPAGHETTI PHILIPPINES Filipino KBR-384 1 Serving,PH-020-SPAGHETTIPHI,SPAGHETTI PHILIPPINES converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,485.4,"[{""ingredient_name"":""GOODY PASTA #20 SPAGHETTI 24/450"",""quantity"":100,""unit"":""g"",""item_code"":""386762"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.003,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA AMERICANA CHICKEN FRANK 24/340G"",""quantity"":40.5,""unit"":""g"",""item_code"":""182833"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":1.8,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""GREEN PEPPER (LBN)"",""quantity"":15,""unit"":""g"",""item_code"":""PR000009"",""ingredient_id"":""""},{""ingredient_name"":""BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG"",""quantity"":100,""unit"":""g"",""item_code"":""141396"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA LUNA TOMATO PASTE 24/400G"",""quantity"":7.5,""unit"":""g"",""item_code"":""103023"",""ingredient_id"":""""},{""ingredient_name"":""A-TFGA AFFCO TOMATO KETCHUP 4/5KG"",""quantity"":0.036,""unit"":""l"",""item_code"":""161290"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10"",""quantity"":0.084,""unit"":""l"",""item_code"":""381887"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.024,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA MAKATI SOY SAUCE 12/750ML"",""quantity"":0.0045,""unit"":""l"",""item_code"":""100782"",""ingredient_id"":""""},{""ingredient_name"":""AL OSRA SUGAR FINE 10/2KG"",""quantity"":3.13,""unit"":""g"",""item_code"":""176065"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA SLICED CHEESE 9/800G"",""quantity"":36,""unit"":""g"",""item_code"":""171301"",""ingredient_id"":""""}]",[],"1 kg (2.2 lbs) or two 1-pound packages dried spaghetti noodles | 2 tbsp cooking oil | 8 to 10 red hot dogs or frankfurters, sliced diagonally | 2 large yellow onions, finely chopped | 6 cloves garlic, minced | 1 large red bell pepper, chopped (optional) | 1 kg (2.2 lbs) ground beef or ground beef (or a mix) | 5 tbsp tomato paste | 1.5 cups sweet banana ketchup | 3 to 4 cups (about 1.4 kg) tomato sauce or passata | 1 cup beef or chicken stock / water | 3 tbsp soy sauce | 2 to 3 tbsp white or brown sugar (adjust to taste for sweetness) | Salt and ground black pepper to taste | 1.5 cups grated cheddar cheese or quick-melt cheese for topping",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Sardine Philippines Filipino KBR-384 1 Serving,PH-021-SARDINEPHILI,Sardine Philippines converted from 10-person Filipino source recipe to 1 serving.,Filipino,Filipino,Main Course,1,366.3,"[{""ingredient_name"":""MAWASIM SARDINES TOM/SCE 100/155G"",""quantity"":100.75,""unit"":""g"",""item_code"":""153319"",""ingredient_id"":""""},{""ingredient_name"":""A- MAKATI CHINESE NOODLES 30/200G"",""quantity"":15,""unit"":""g"",""item_code"":""402514"",""ingredient_id"":""""},{""ingredient_name"":""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"",""quantity"":0.0075,""unit"":""l"",""item_code"":""221871"",""ingredient_id"":""""},{""ingredient_name"":""GARLIC (CHINA)"",""quantity"":1.8,""unit"":""g"",""item_code"":""PR000018"",""ingredient_id"":""""},{""ingredient_name"":""DRY ONION (LOCAL)"",""quantity"":30,""unit"":""g"",""item_code"":""PR000020"",""ingredient_id"":""""},{""ingredient_name"":""TOMATO (ADY)"",""quantity"":48,""unit"":""g"",""item_code"":""PR000005"",""ingredient_id"":""""},{""ingredient_name"":""(TAFGA) NOVA WATER 24/0.55-0.6LTR"",""quantity"":0.144,""unit"":""l"",""item_code"":""224894"",""ingredient_id"":""""},{""ingredient_name"":""A-AFFCO FISH SAUCE 12/700ML"",""quantity"":0.003,""unit"":""l"",""item_code"":""273104"",""ingredient_id"":""""},{""ingredient_name"":""A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z"",""quantity"":0.27,""unit"":""g"",""item_code"":""185836"",""ingredient_id"":""""},{""ingredient_name"":""SPINACH (BDL)"",""quantity"":16,""unit"":""g"",""item_code"":""PR000061"",""ingredient_id"":""""}]",[],"6 to 7 cans (155g each) Ligo or preferred canned sardines in tomato sauce | 3 packs (approx. 50g–60g each) misua (miswa) noodles | 5 tablespoons cooking oil | 6 cloves garlic, minced | 2 medium onions, chopped | 4 medium ripe tomatoes, chopped | 6 cups water (add more if you prefer a soupier consistency) | 2 tablespoons fish sauce (patis) or salt to taste | 1 teaspoon ground black pepper | 2 bundles of pechay or spinach (optional, for extra greens)",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
